Sail Date.,QTY.(KGS)
2018-01-01,893507.0
2018-01-02,9301854.0
2018-01-03,10418843.0
2018-01-04,293811.0
2018-01-06,1376769.0
2018-01-08,16708809.0
2018-01-09,739640.0
2018-01-10,10321555.0
2018-01-11,62047960.0
2018-01-12,6345710.0
2018-01-13,340601.0
2018-01-14,6506655.0
2018-01-15,11827121.0
2018-01-16,6754364.0
2018-01-18,3431.0
2018-01-19,658528.0
2018-01-22,10594523.0
2018-01-23,19585745.0
2018-01-26,7695663.0
2018-01-27,47707472.0
2018-01-28,7667552.0
2018-01-29,12255967.0
2018-01-30,9035891.0
2018-02-02,4609705.0
2018-02-03,221058.0
2018-02-04,8327349.0
2018-02-05,17835988.0
2018-02-06,18492648.0
2018-02-07,1600209.0
2018-02-09,79364.0
2018-02-10,65575.0
2018-02-11,5218480.0
2018-02-12,13363127.0
2018-02-13,9050660.0
2018-02-14,4600000.0
2018-02-15,7150000.0
2018-02-16,168970.0
2018-02-17,4546385.0
2018-02-18,7440339.0
2018-02-19,11140441.0
2018-02-20,6700936.0
2018-02-23,40712.0
2018-02-24,12587202.0
2018-02-25,1039742.0
2018-02-26,3803479.0
2018-02-27,10647972.0
2018-02-28,7930662.0
2018-03-03,1175273.0
2018-03-04,7350000.0
2018-03-05,15057608.0
2018-03-06,20456348.0
2018-03-07,530420.0
2018-03-08,5000120.0
2018-03-09,126137.0
2018-03-10,2940812.0
2018-03-11,1875130.0
2018-03-12,3166310.0
2018-03-13,18350955.0
2018-03-15,11948180.0
2018-03-16,1083864.0
2018-03-18,17452000.0
2018-03-19,8217789.0
2018-03-20,13907692.0
2018-03-21,1011336.0
2018-03-22,8610475.0
2018-03-23,23288873.0
2018-03-24,8762610.0
2018-03-25,3731712.0
2018-03-26,11555269.0
2018-03-27,8966609.0
2018-03-28,1384933.0
2018-03-30,1887874.0
2018-03-31,2903459.0
2018-04-01,6939189.0
2018-04-02,10534258.0
2018-04-03,16879954.0
2018-04-04,8977110.0
2018-04-06,2226892.0
2018-04-07,247336.0
2018-04-08,2174827.0
2018-04-09,3981984.0
2018-04-10,21130363.0
2018-04-12,446520.0
2018-04-13,1128240.0
2018-04-14,1144754.0
2018-04-15,12376860.0
2018-04-16,11100834.0
2018-04-17,8400451.0
2018-04-18,1176575.0
2018-04-19,452266.0
2018-04-20,1561.0
2018-04-22,16892031.0
2018-04-23,3140927.0
2018-04-24,8422211.0
2018-04-27,19285698.0
2018-04-28,6189235.0
2018-04-29,7416.0
2018-04-30,14811099.0
2018-05-01,13212177.0
2018-05-04,2639036.0
2018-05-05,3800000.0
2018-05-07,11873046.0
2018-05-08,13089081.0
2018-05-09,3017754.0
2018-05-11,4265127.0
2018-05-12,4927010.0
2018-05-13,274512.0
2018-05-14,10597716.0
2018-05-15,9146930.0
2018-05-16,5522686.0
2018-05-18,1687141.0
2018-05-19,1963591.0
2018-05-20,345946.0
2018-05-21,8729764.0
2018-05-22,8331188.0
2018-05-24,43650000.0
2018-05-26,1115964.0
2018-05-27,445570.0
2018-05-28,1108214.0
2018-05-29,12966417.0
2018-05-30,16432829.0
2018-06-01,118046.0
2018-06-02,2981456.0
2018-06-03,23020280.0
2018-06-04,19916162.0
2018-06-06,4216706.0
2018-06-07,9379587.0
2018-06-08,300061.0
2018-06-09,52325570.0
2018-06-11,2909269.0
2018-06-12,8533102.0
2018-06-13,912257.0
2018-06-16,737893.0
2018-06-18,1385965.0
2018-06-19,15358334.0
2018-06-20,14273456.0
2018-06-21,7876000.0
2018-06-23,283987.0
2018-06-24,1160899.0
2018-06-25,14365505.0
2018-06-26,16396190.0
2018-06-28,3046047.0
2018-06-30,4526775.0
2018-07-02,6070490.0
2018-07-03,21750113.0
2018-07-04,11605737.0
2018-07-06,213602.0
2018-07-08,3525538.0
2018-07-09,21871830.0
2018-07-10,18899997.0
2018-07-11,5508744.0
2018-07-12,47498200.0
2018-07-14,1657799.0
2018-07-15,598519.0
2018-07-16,22433866.0
2018-07-17,22152896.0
2018-07-20,2899517.0
2018-07-21,15000000.0
2018-07-22,161671.0
2018-07-23,5212949.0
2018-07-24,12171014.0
2018-07-25,28226649.0
2018-07-27,23280.0
2018-07-28,102930.0
2018-07-29,2679167.0
2018-07-30,4429270.0
2018-07-31,56819045.0
2018-08-01,14984684.0
2018-08-02,262167.0
2018-08-04,1540830.0
2018-08-05,2324929.0
2018-08-06,13699468.0
2018-08-07,14485663.0
2018-08-08,7105350.0
2018-08-09,13322104.0
2018-08-11,1240362.0
2018-08-12,1852822.0
2018-08-13,9594678.0
2018-08-14,22302821.0
2018-08-15,5750565.0
2018-08-17,554101.0
2018-08-19,9819569.0
2018-08-20,17557100.0
2018-08-21,21541719.0
2018-08-22,6957576.0
2018-08-24,1500478.0
2018-08-25,20642.0
2018-08-28,16887307.0
2018-08-29,6668187.0
2018-08-31,1183093.0
2018-09-01,3000.0
2018-09-02,710997.0
2018-09-03,31335530.0
2018-09-05,8608839.0
2018-09-07,1887519.0
2018-09-08,340036.0
2018-09-09,7005375.0
2018-09-10,1598446.0
2018-09-11,16482876.0
2018-09-12,3289168.0
2018-09-13,7495000.0
2018-09-14,20052.0
2018-09-15,5173234.0
2018-09-16,2578430.0
2018-09-17,10272056.0
2018-09-19,21883464.0
2018-09-21,3056168.0
2018-09-22,15734840.0
2018-09-25,22183862.0
2018-09-26,13602822.0
2018-09-27,7203770.0
2018-09-28,2524588.0
2018-09-29,1143869.0
2018-10-01,12039549.0
2018-10-02,5345615.0
2018-10-04,4529131.0
2018-10-05,2314998.0
2018-10-06,11375640.0
2018-10-07,7874100.0
2018-10-08,847018.0
2018-10-09,12053369.0
2018-10-10,15571357.0
2018-10-12,2428682.0
2018-10-13,29210.0
2018-10-14,317996.0
2018-10-15,4630998.0
2018-10-16,20515716.0
2018-10-17,8443089.0
2018-10-19,1857947.0
2018-10-20,41130000.0
2018-10-22,9140810.0
2018-10-23,7301000.0
2018-10-24,11448842.0
2018-10-26,14266411.0
2018-10-27,6142620.0
2018-10-29,15263603.0
2018-10-30,6741189.0
2018-10-31,20218210.0
2018-11-02,1890676.0
2018-11-04,24980.0
2018-11-05,8145147.0
2018-11-06,21163538.0
2018-11-07,6218594.0
2018-11-09,18071770.0
2018-11-11,8650259.0
2018-11-13,11654321.0
2018-11-15,8749572.0
2018-11-16,48336.0
2018-11-18,9133986.0
2018-11-19,11342897.0
2018-11-20,14192227.0
2018-11-21,5849331.0
2018-11-22,6287570.0
2018-11-23,399178.0
2018-11-24,1050496.0
2018-11-26,35669496.0
2018-11-27,6526879.0
2018-11-30,5994799.0
2018-12-02,833130.0
2018-12-03,10396972.0
2018-12-04,26564447.0
2018-12-05,5717888.0
2018-12-06,42001.0
2018-12-07,1629804.0
2018-12-08,4200000.0
2018-12-09,7634580.0
2018-12-10,13755130.0
2018-12-12,23662498.0
2018-12-13,6397738.0
2018-12-14,1983968.0
2018-12-15,10621560.0
2018-12-16,5458773.0
2018-12-17,4386388.0
2018-12-18,15744972.0
2018-12-19,223200.0
2018-12-20,8422138.0
2018-12-21,208917.0
2018-12-22,1923053.0
2018-12-23,7200000.0
2018-12-24,15135072.0
2018-12-25,8080251.0
2018-12-27,6081902.0
2018-12-28,55800.0
2018-12-29,5249180.0
2018-12-31,32821973.0
